exp_indx,delta,epsilon_freq,epsilon_time,emd_freq,emd_time
0,0.01,0.040001333413339134,1.1095748780650696e-12,14.645583977779447,423672.14256269345
1,0.01,0.040001333413339134,1.1095748780650696e-12,13.215014017569544,473079.44441040733
2,0.01,0.040001333413339134,1.1095748780650696e-12,14.777135857398417,429512.93202657055
3,0.01,0.040001333413339134,1.1095748780650696e-12,18.784006117103797,389618.310122198
4,0.01,0.040001333413339134,1.1095748780650696e-12,15.133438844903777,510339.6714788829
5,0.01,0.040001333413339134,1.1095748780650696e-12,15.72101487024499,424416.09010008693
6,0.01,0.040001333413339134,1.1095748780650696e-12,15.934854393332586,508079.03987157496
7,0.01,0.040001333413339134,1.1095748780650696e-12,16.821039671323717,407387.48045871744
8,0.01,0.040001333413339134,1.1095748780650696e-12,13.628161295623997,543384.5157512553
9,0.01,0.040001333413339134,1.1095748780650696e-12,14.507242273724508,585095.7670886854
0,0.05,0.20016691711396528,5.552280298352763e-12,3.0445508100319696,125687.22227495248
1,0.05,0.20016691711396528,5.552280298352763e-12,3.4166698239774593,107753.40214696703
2,0.05,0.20016691711396528,5.552280298352763e-12,3.335021554234896,124252.26017318481
3,0.05,0.20016691711396528,5.552280298352763e-12,3.282955378342218,112233.27571158354
4,0.05,0.20016691711396528,5.552280298352763e-12,3.095633539641253,124613.9588919142
5,0.05,0.20016691711396528,5.552280298352763e-12,2.6464244935939556,133221.4810576926
6,0.05,0.20016691711396528,5.552280298352763e-12,3.7316219883413355,117013.73114827728
7,0.05,0.20016691711396528,5.552280298352763e-12,2.830575929198592,124436.11916569297
8,0.05,0.20016691711396528,5.552280298352763e-12,2.7619774099271357,114521.73301522361
9,0.05,0.20016691711396528,5.552280298352763e-12,3.5154250208222924,120070.89880275345
0,0.1,0.4013413909243025,1.1134428921020967e-11,2.0011054657933904,70141.75367105278
1,0.1,0.4013413909243025,1.1134428921020967e-11,1.8789071412133371,68950.99976186144
2,0.1,0.4013413909243025,1.1134428921020967e-11,1.6250016792472084,75877.27822476644
3,0.1,0.4013413909243025,1.1134428921020967e-11,1.6290387056701991,81550.4940528175
4,0.1,0.4013413909243025,1.1134428921020967e-11,1.6132004599356216,73290.55636566816
5,0.1,0.4013413909243025,1.1134428921020967e-11,2.0038736003829567,69292.10798128284
6,0.1,0.4013413909243025,1.1134428921020967e-11,1.6318384700589608,58745.86025198539
7,0.1,0.4013413909243025,1.1134428921020967e-11,1.3191587097323874,80521.65549592284
8,0.1,0.4013413909243025,1.1134428921020967e-11,1.5348902287911153,64512.46411484754
9,0.1,0.4013413909243025,1.1134428921020967e-11,1.674568133052111,65573.4531499453
0,0.5,2.1972245773362196,6.09523152874864e-11,0.3928404286717755,16403.777272073923
1,0.5,2.1972245773362196,6.09523152874864e-11,0.3553297578981312,15325.292318094092
2,0.5,2.1972245773362196,6.09523152874864e-11,0.41832678482800234,15886.691598650652
3,0.5,2.1972245773362196,6.09523152874864e-11,0.48846640982052414,16882.81974022659
4,0.5,2.1972245773362196,6.09523152874864e-11,0.34182705755716447,16494.50540276778
5,0.5,2.1972245773362196,6.09523152874864e-11,0.4561841860521375,14931.086055360556
6,0.5,2.1972245773362196,6.09523152874864e-11,0.36335262578065763,12735.698801280716
7,0.5,2.1972245773362196,6.09523152874864e-11,0.383724600671065,14970.496594038264
8,0.5,2.1972245773362196,6.09523152874864e-11,0.39185295221557714,18129.67791464006
9,0.5,2.1972245773362196,6.09523152874864e-11,0.4097158097654525,16353.71322180509
