dataset,aggregate_type,delta,edge,APE_freq
BPIC15,AggregateType.AVG,0.3,"('06_VD_030_4', '06_VD_060_2a')",0.018674235632188507
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_440_1', '01_HOOFD_331')",0.911270556861896
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_331', '01_HOOFD_440_2')",0.4594832045553061
BPIC15,AggregateType.AVG,0.3,"('01_BB_540', '01_HOOFD_809c')",0.03921091714460661
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_809c', '01_BB_775')",0.09332057631651385
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_490_3', '01_HOOFD_490_3a')",0.010332376394267984
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_811', '01_HOOFD_809')",0.0308889938286652
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_030', '08_AWB45_060')",0.01037240181467094
BPIC15,AggregateType.AVG,0.3,"('04_BPT_009', '04_BPT_020')",0.03661029063280425
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_455', '10_UOV_010')",0.05081751069294509
BPIC15,AggregateType.AVG,0.3,"('10_UOV_055', '01_HOOFD_465')",0.6015767123472797
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_460', '01_HOOFD_460a')",0.04538753306864507
BPIC15,AggregateType.AVG,0.3,"('10_UOV_030', '10_UOV_030a')",0.0349439757483035
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_510_0', '10_UOV_041b')",0.5457978446303815
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_516', '01_HOOFD_516a')",0.022176128498180247
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_510_2', '01_HOOFD_530a')",0.01551318499147681
BPIC15,AggregateType.AVG,0.3,"('06_VD_035', '06_VD_030_4')",0.12635497974165943
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_020_2', '08_AWB45_051_2')",0.04073162667843877
BPIC15,AggregateType.AVG,0.3,"('06_VD_030_1', '06_VD_030_1a')",0.026026347447666964
BPIC15,AggregateType.AVG,0.3,"('04_BPT_005', '01_HOOFD_061')",0.0026219288156504018
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_070_1a', '08_AWB45_070_3')",0.4849900738060026
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_460a', '01_HOOFD_460')",0.030542572785312583
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_440_2', '01_HOOFD_445')",0.019639063497628874
BPIC15,AggregateType.AVG,0.3,"('10_UOV_030a', '10_UOV_030')",0.009437607432333668
BPIC15,AggregateType.AVG,0.3,"('06_VD_030_5', '06_VD_060_2')",0.19077806693765353
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_090_4', '08_AWB45_090_2a')",0.33224917638893237
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_070_5', '08_AWB45_090_2')",0.04155214465923525
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_380', '12_AP_010')",0.004741915059644386
BPIC15,AggregateType.AVG,0.3,"('12_AP_010', '01_HOOFD_410_0')",0.6939645752727919
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_410_0', '01_HOOFD_420')",0.5645347422047262
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_420', '01_HOOFD_430')",0.2010461253646918
BPIC15,AggregateType.AVG,0.3,"('06_VD_060_3', '06_VD_060_4')",0.059750541698617265
BPIC15,AggregateType.AVG,0.3,"('04_BPT_040', '04_BPT_050')",0.09488971099275201
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_080', '04_BPT_021')",0.25689957588956913
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_190_1', '01_HOOFD_190_2')",0.002890381258653818
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_440_1', '01_HOOFD_440_1a')",0.004982312354570917
BPIC15,AggregateType.AVG,0.3,"('10_UOV_050_1', '01_HOOFD_459')",0.26515474632328795
BPIC15,AggregateType.AVG,0.3,"('10_UOV_050_2a', '10_UOV_050_2')",0.02551656038418442
BPIC15,AggregateType.AVG,0.3,"('06_VD_010', '06_VD_020')",0.008844411411913587
BPIC15,AggregateType.AVG,0.3,"('06_VD_060_2a', '06_VD_030_5a')",0.13539637727993892
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_110_1', '01_HOOFD_110_2')",0.005980302573255244
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_090_0', '08_AWB45_070_1a')",0.5096563467493634
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_490_2', '01_HOOFD_490_4')",0.010096112980961905
BPIC15,AggregateType.AVG,0.3,"('04_BPT_050', '04_BPT_060')",0.1507007740642304
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_020_0', '08_AWB45_020_1')",0.008710823477185254
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_075', '08_AWB45_090_3')",0.3768259508857141
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_090_2', '08_AWB45_070_5a')",0.0666312644509753
BPIC15,AggregateType.AVG,0.3,"('05_EIND_010', '05_EIND_011')",0.021045796917567118
BPIC15,AggregateType.AVG,0.3,"('05_EIND_030_0', '05_EIND_025')",0.016485310065702308
BPIC15,AggregateType.AVG,0.3,"('10_UOV_030', '10_UOV_060')",0.00015969650950733438
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_809b', '10_UOV_055')",0.015959620994221657
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_480', '01_HOOFD_490_1')",0.0011632039171802365
BPIC15,AggregateType.AVG,0.3,"('14_VRIJ_011', '14_VRIJ_020_0')",1.0278100731542317
BPIC15,AggregateType.AVG,0.3,"('14_VRIJ_020_0', '01_HOOFD_815')",0.6837242940709989
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_815', '14_VRIJ_035')",0.22811422699652573
BPIC15,AggregateType.AVG,0.3,"('14_VRIJ_035', '01_HOOFD_820')",0.2775623859687524
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_015', '14_VRIJ_015')",0.41970829990207625
BPIC15,AggregateType.AVG,0.3,"('14_VRIJ_015', '01_HOOFD_030_1')",2.0815857787962395
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_070_1', '08_AWB45_070_4')",0.07746606599999648
BPIC15,AggregateType.AVG,0.3,"('08_AWB45_090_3', '08_AWB45_090_4')",0.11511733960119908
BPIC15,AggregateType.AVG,0.3,"('12_AP_010', '12_AP_011')",0.46466751606554685
BPIC15,AggregateType.AVG,0.3,"('12_AP_011', '12_AP_020_0')",0.02368283033272811
BPIC15,AggregateType.AVG,0.3,"('12_AP_020_2', '12_AP_025')",0.9364940324128055
BPIC15,AggregateType.AVG,0.3,"('12_AP_025', '12_AP_050')",0.14653546423857677
BPIC15,AggregateType.AVG,0.3,"('12_AP_060', '12_AP_030')",0.6394572888715273
BPIC15,AggregateType.AVG,0.3,"('12_AP_030', '12_AP_055')",0.9351663838983457
BPIC15,AggregateType.AVG,0.3,"('01_HOOFD_181', '08_AWB45_005')",0.004155898726963721
BPIC15,AggregateType.AVG,0.3,"('12_AP_020_0', '01_HOOFD_375')",0.32564359349588834
