dataset,aggregate_type,delta,epsilon_freq,epsilon_time,MAPE_freq,SMAPE_freq,MAPE_time,SMAPE_time
CreditReq,AggregateType.AVG,0.05,0.20016691711396528,0.00015687293396995691,0.0005287513737211264,0.00026424902025213204,13.581544135444869,0.7293505842970265
CreditReq,AggregateType.SUM,0.05,0.20016691711396528,1.5812791744171657,0.0004303264302764322,0.00021507221485732005,0.009465933356751274,0.004692079181386323
CreditReq,AggregateType.MIN,0.05,0.20016691711396528,4.7721676612146064e-05,0.0004608928748547939,0.00023034674480016892,1325.6468879635615,0.9692695654370516
CreditReq,AggregateType.MAX,0.05,0.20016691711396528,0.06871921432149034,0.0004942741724797612,0.00024701695651660634,2.019186553753334,0.36778072406961104
