dataset,aggregate_type,delta,edge,APE_freq
CreditReq,AggregateType.AVG,0.8,"('Register', 'Acceptance of requests')",2.439725691834931e-05
CreditReq,AggregateType.AVG,0.8,"('Acceptance of requests', 'Acceptance of requests')",4.751073501921171e-05
CreditReq,AggregateType.AVG,0.8,"('Acceptance of requests', 'Collection of documents')",3.593159199226648e-05
CreditReq,AggregateType.AVG,0.8,"('Collection of documents', 'Collection of documents')",5.465151509712357e-06
CreditReq,AggregateType.AVG,0.8,"('Collection of documents', 'Completeness check')",5.3698962068684456e-05
CreditReq,AggregateType.AVG,0.8,"('Completeness check', 'Completeness check')",1.7887459727112698e-05
CreditReq,AggregateType.AVG,0.8,"('Completeness check', 'Credit worthiness check')",9.113114751579663e-05
CreditReq,AggregateType.AVG,0.8,"('Credit worthiness check', 'Credit worthiness check')",2.881396135849551e-05
CreditReq,AggregateType.AVG,0.8,"('Credit worthiness check', 'Collateral check')",1.5414225970374375e-06
CreditReq,AggregateType.AVG,0.8,"('Collateral check', 'Collateral check')",4.126688703791744e-05
CreditReq,AggregateType.AVG,0.8,"('Collateral check', 'Credit committee')",6.0904436219677e-06
CreditReq,AggregateType.AVG,0.8,"('Credit committee', 'Credit committee')",3.923899935563136e-06
CreditReq,AggregateType.AVG,0.8,"('Credit committee', 'Requirements review')",4.772247096800644e-05
CreditReq,AggregateType.AVG,0.8,"('Requirements review', 'Requirements review')",7.383709790793679e-06
CreditReq,AggregateType.SUM,0.8,"('Register', 'Acceptance of requests')",2.223489683832986e-05
CreditReq,AggregateType.SUM,0.8,"('Acceptance of requests', 'Acceptance of requests')",1.0205540094823868e-05
CreditReq,AggregateType.SUM,0.8,"('Acceptance of requests', 'Collection of documents')",1.1534619224351445e-05
CreditReq,AggregateType.SUM,0.8,"('Collection of documents', 'Collection of documents')",1.934646719335054e-05
CreditReq,AggregateType.SUM,0.8,"('Collection of documents', 'Completeness check')",2.2661586728108947e-05
CreditReq,AggregateType.SUM,0.8,"('Completeness check', 'Completeness check')",2.9989050726246066e-05
CreditReq,AggregateType.SUM,0.8,"('Completeness check', 'Credit worthiness check')",8.703484261136058e-06
CreditReq,AggregateType.SUM,0.8,"('Credit worthiness check', 'Credit worthiness check')",2.4953539284532527e-05
CreditReq,AggregateType.SUM,0.8,"('Credit worthiness check', 'Collateral check')",2.635727629116877e-05
CreditReq,AggregateType.SUM,0.8,"('Collateral check', 'Collateral check')",3.377765602684859e-05
CreditReq,AggregateType.SUM,0.8,"('Collateral check', 'Credit committee')",4.841742449365294e-06
CreditReq,AggregateType.SUM,0.8,"('Credit committee', 'Credit committee')",9.345218470023933e-06
CreditReq,AggregateType.SUM,0.8,"('Credit committee', 'Requirements review')",6.126758414746692e-06
CreditReq,AggregateType.SUM,0.8,"('Requirements review', 'Requirements review')",2.1534991287955503e-05
CreditReq,AggregateType.MIN,0.8,"('Register', 'Acceptance of requests')",2.2571446031737062e-05
CreditReq,AggregateType.MIN,0.8,"('Acceptance of requests', 'Acceptance of requests')",4.0630630802897204e-05
CreditReq,AggregateType.MIN,0.8,"('Acceptance of requests', 'Collection of documents')",1.345364137945196e-05
CreditReq,AggregateType.MIN,0.8,"('Collection of documents', 'Collection of documents')",3.97535446662727e-06
CreditReq,AggregateType.MIN,0.8,"('Collection of documents', 'Completeness check')",3.3913259621736326e-05
CreditReq,AggregateType.MIN,0.8,"('Completeness check', 'Completeness check')",3.3210043890940467e-06
CreditReq,AggregateType.MIN,0.8,"('Completeness check', 'Credit worthiness check')",4.993087132459339e-06
CreditReq,AggregateType.MIN,0.8,"('Credit worthiness check', 'Credit worthiness check')",7.928114518338239e-06
CreditReq,AggregateType.MIN,0.8,"('Credit worthiness check', 'Collateral check')",6.010707254779612e-06
CreditReq,AggregateType.MIN,0.8,"('Collateral check', 'Collateral check')",4.951445546037043e-07
CreditReq,AggregateType.MIN,0.8,"('Collateral check', 'Credit committee')",1.377691180284523e-05
CreditReq,AggregateType.MIN,0.8,"('Credit committee', 'Credit committee')",9.593490019691115e-06
CreditReq,AggregateType.MIN,0.8,"('Credit committee', 'Requirements review')",7.570431103350585e-05
CreditReq,AggregateType.MIN,0.8,"('Requirements review', 'Requirements review')",1.2168113090765596e-05
CreditReq,AggregateType.MAX,0.8,"('Register', 'Acceptance of requests')",4.3221144432171645e-05
CreditReq,AggregateType.MAX,0.8,"('Acceptance of requests', 'Acceptance of requests')",1.0732067808830277e-05
CreditReq,AggregateType.MAX,0.8,"('Acceptance of requests', 'Collection of documents')",1.4135869395348727e-05
CreditReq,AggregateType.MAX,0.8,"('Collection of documents', 'Collection of documents')",8.129500775968002e-06
CreditReq,AggregateType.MAX,0.8,"('Collection of documents', 'Completeness check')",8.055161931474267e-06
CreditReq,AggregateType.MAX,0.8,"('Completeness check', 'Completeness check')",4.911007578105654e-06
CreditReq,AggregateType.MAX,0.8,"('Completeness check', 'Credit worthiness check')",3.089627707627076e-06
CreditReq,AggregateType.MAX,0.8,"('Credit worthiness check', 'Credit worthiness check')",2.063486075287652e-05
CreditReq,AggregateType.MAX,0.8,"('Credit worthiness check', 'Collateral check')",6.1591959575654715e-06
CreditReq,AggregateType.MAX,0.8,"('Collateral check', 'Collateral check')",9.624051664223808e-05
CreditReq,AggregateType.MAX,0.8,"('Collateral check', 'Credit committee')",6.895545033145674e-06
CreditReq,AggregateType.MAX,0.8,"('Credit committee', 'Credit committee')",1.1988534309188884e-06
CreditReq,AggregateType.MAX,0.8,"('Credit committee', 'Requirements review')",1.6800414808116833e-05
CreditReq,AggregateType.MAX,0.8,"('Requirements review', 'Requirements review')",2.6846180044303512e-05
