dataset,aggregate_type,delta,edge,APE_time
BPIC15,AggregateType.AVG,0.2,"('12_AP_010', '12_AP_011')",0.02084560397875106
BPIC15,AggregateType.AVG,0.2,"('12_AP_011', '12_AP_020_0')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_020_2', '12_AP_025')",0.002607856820509418
BPIC15,AggregateType.AVG,0.2,"('12_AP_025', '12_AP_050')",0.003262737165906744
BPIC15,AggregateType.AVG,0.2,"('12_AP_050', '12_AP_060')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_060', '12_AP_030')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_030', '12_AP_055')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_055', '01_HOOFD_250_0')",0.0
BPIC15,AggregateType.AVG,0.2,"('12_AP_020_0', '01_HOOFD_375')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_250_0', '01_HOOFD_190_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_025', '08_AWB45_070_3a')",0.01036208646645975
BPIC15,AggregateType.AVG,0.2,"('06_VD_030_1a', '03_VD_060_0')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_100', '06_VD_020_2')",0.0019329861074178305
BPIC15,AggregateType.AVG,0.2,"('06_VD_010', '06_VD_020_1')",0.020637786195545446
BPIC15,AggregateType.AVG,0.2,"('06_VD_020_1', '06_VD_030')",0.006860217782622917
BPIC15,AggregateType.AVG,0.2,"('06_VD_030', '06_VD_040')",0.005816146015023275
BPIC15,AggregateType.AVG,0.2,"('06_VD_040', '06_VD_050')",0.02206885622036346
BPIC15,AggregateType.AVG,0.2,"('06_VD_050', '06_VD_060')",0.0015179297307302835
BPIC15,AggregateType.AVG,0.2,"('05_EIND_030_1', '05_EIND_040')",0.040032248246497364
BPIC15,AggregateType.AVG,0.2,"('04_BPT_030', '04_BPT_040')",0.010746159335555797
BPIC15,AggregateType.AVG,0.2,"('10_UOV_010', '10_UOV_020')",0.006824374935017633
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_450', '01_HOOFD_460')",0.015970217028329903
BPIC15,AggregateType.AVG,0.2,"('06_VD_100', '06_VD_140')",0.0033021118950229684
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_270', '01_HOOFD_410_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_410_2', '01_HOOFD_250')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_380', '01_HOOFD_390')",0.0006838038234372826
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_390', '01_HOOFD_400')",0.0007743195544479413
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_400', '01_HOOFD_410_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_410_1', '01_HOOFD_420')",0.00019391875491000347
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_060', '08_AWB45_070_1')",0.02258529423531841
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_205', '05_EIND_020')",0.0
BPIC15,AggregateType.AVG,0.2,"('05_EIND_040', '05_EIND_050')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_050_2', '01_HOOFD_065_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_035', '01_HOOFD_490_3')",0.00331581641462078
BPIC15,AggregateType.AVG,0.2,"('10_UOV_180', '10_UOV_190')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_190', '10_UOV_200')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_200', '10_UOV_210')",0.0
BPIC15,AggregateType.AVG,0.2,"('02_DRZ_020_2', '02_DRZ_010_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_040', '02_DRZ_010_1')",0.004364027183305222
BPIC15,AggregateType.AVG,0.2,"('02_DRZ_010_1', '02_DRZ_020_1')",0.00022900105398755826
BPIC15,AggregateType.AVG,0.2,"('02_DRZ_020_1', '02_DRZ_030')",0.0006294557164222814
BPIC15,AggregateType.AVG,0.2,"('02_DRZ_030', '01_HOOFD_790')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_070_2', '08_AWB45_080')",0.0008334992570732371
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_080', '08_AWB45_090_1')",0.004658918549112475
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_090_1', '08_AWB45_090_2')",0.03425692803022207
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_060', '06_VD_070')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_020', '06_VD_030_1')",0.026620439620269148
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_455', '01_HOOFD_460')",0.006861871129152955
BPIC15,AggregateType.AVG,0.2,"('10_UOV_020', '10_UOV_045')",0.003763183801052219
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_040', '01_HOOFD_195_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_195_2', '01_HOOFD_195_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_195_1', '01_HOOFD_195')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_460', '01_HOOFD_451')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_451', '08_AWB45_005')",0.0
BPIC15,AggregateType.AVG,0.2,"('10_UOV_040', '10_UOV_050_1')",0.037843164449118984
BPIC15,AggregateType.AVG,0.2,"('10_UOV_070', '10_UOV_080')",0.0031568230394111657
BPIC15,AggregateType.AVG,0.2,"('10_UOV_120', '12_AP_UOV_010')",0.006749287380239054
BPIC15,AggregateType.AVG,0.2,"('10_UOV_100', '01_HOOFD_490_3')",0.0006288809744790025
BPIC15,AggregateType.AVG,0.2,"('01_BB_640', '01_BB_700')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_BB_700', '01_BB_730')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_820', '01_BB_670_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('05_EIND_060', '01_HOOFD_200')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_480', '01_HOOFD_510_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_030', '01_HOOFD_110')",0.012001115043785059
BPIC15,AggregateType.AVG,0.2,"('05_EIND_050', '01_HOOFD_040')",0.0
BPIC15,AggregateType.AVG,0.2,"('05_EIND_020', '01_HOOFD_010')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_190_2', '06_VD_050')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_070_3', '06_VD_100')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_020_2', '08_AWB45_040')",0.0
BPIC15,AggregateType.AVG,0.2,"('06_VD_140', '01_HOOFD_190_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_020_1', '06_VD_020_2')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_460', '01_HOOFD_440_1')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_445', '10_UOV_030')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_050', '08_AWB45_170')",0.008568657540946392
BPIC15,AggregateType.AVG,0.2,"('08_AWB45_170', '01_HOOFD_100')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_180', '01_HOOFD_190')",0.05660257498489746
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_140', '01_HOOFD_150')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_150', '01_HOOFD_160')",0.0
BPIC15,AggregateType.AVG,0.2,"('01_HOOFD_160', '01_HOOFD_180')",0.000102739666302476
