dataset,aggregate_type,alpha,epsilon_freq,epsilon_time,delta_freq_median,delta_time_median,delta_freq_max,delta_time_max
BPIC15,AggregateType.AVG,0.2,0.031628916112555576,0.000317775402405167,0.8935195695959551,0.0,0.999980000199998,0.32962387350042105
BPIC15,AggregateType.SUM,0.2,0.031628916112555576,0.15152834785386424,0.8935195695959551,0.0,0.999980000199998,0.993227146055979
BPIC15,AggregateType.MIN,0.2,0.031628916112555576,0.15246146538710212,0.8935195695959551,0.0,0.999980000199998,0.9933333333333333
BPIC15,AggregateType.MAX,0.2,0.031628916112555576,0.1512996097754541,0.8935195695959551,0.0,0.999980000199998,0.996775322436607
