dataset,aggregate_type,alpha,epsilon_freq,epsilon_time,delta_freq_median,delta_time_median,delta_freq_max,delta_time_max
BPIC15,AggregateType.AVG,0.3,0.021085944075037052,0.0002118502682701113,0.7440137844466425,0.0,0.9990721129203082,0.10038395166711568
BPIC15,AggregateType.SUM,0.3,0.021085944075037052,0.10101889856924282,0.7440137844466425,0.0,0.9990721129203082,0.9815841323392984
BPIC15,AggregateType.MIN,0.3,0.021085944075037052,0.10164097692473474,0.7440137844466425,0.0,0.9990721129203082,0.9933333333333333
BPIC15,AggregateType.MAX,0.3,0.021085944075037052,0.10086640651696939,0.7440137844466425,0.0,0.9990721129203082,0.9865185841278472
