dataset,aggregate_type,delta,edge,APE_time
CreditReq,AggregateType.AVG,0.8,"('Register', 'Acceptance of requests')",0.17393648331015227
CreditReq,AggregateType.AVG,0.8,"('Acceptance of requests', 'Collection of documents')",1.1808305125815621
CreditReq,AggregateType.AVG,0.8,"('Collection of documents', 'Completeness check')",0.09996690136221976
CreditReq,AggregateType.AVG,0.8,"('Completeness check', 'Credit worthiness check')",0.0912219477958105
CreditReq,AggregateType.AVG,0.8,"('Credit worthiness check', 'Collateral check')",0.06699954114209966
CreditReq,AggregateType.AVG,0.8,"('Collateral check', 'Credit committee')",0.7126602055276929
CreditReq,AggregateType.AVG,0.8,"('Credit committee', 'Requirements review')",6.291791715068333
CreditReq,AggregateType.SUM,0.8,"('Register', 'Acceptance of requests')",0.0008743870930361862
CreditReq,AggregateType.SUM,0.8,"('Acceptance of requests', 'Collection of documents')",0.0002541570195624874
CreditReq,AggregateType.SUM,0.8,"('Collection of documents', 'Completeness check')",0.0011625967824783997
CreditReq,AggregateType.SUM,0.8,"('Completeness check', 'Credit worthiness check')",0.0004098641542549091
CreditReq,AggregateType.SUM,0.8,"('Credit worthiness check', 'Collateral check')",0.00010955847916069494
CreditReq,AggregateType.SUM,0.8,"('Collateral check', 'Credit committee')",0.000726277602829512
CreditReq,AggregateType.SUM,0.8,"('Credit committee', 'Requirements review')",0.009225511576737011
CreditReq,AggregateType.MIN,0.8,"('Register', 'Acceptance of requests')",126.38675707058174
CreditReq,AggregateType.MIN,0.8,"('Acceptance of requests', 'Collection of documents')",19.78739512394859
CreditReq,AggregateType.MIN,0.8,"('Collection of documents', 'Completeness check')",24.804672363416117
CreditReq,AggregateType.MIN,0.8,"('Completeness check', 'Credit worthiness check')",49.05548447585733
CreditReq,AggregateType.MIN,0.8,"('Credit worthiness check', 'Collateral check')",53.49459222382451
CreditReq,AggregateType.MIN,0.8,"('Collateral check', 'Credit committee')",35.310374990378406
CreditReq,AggregateType.MIN,0.8,"('Credit committee', 'Requirements review')",92.41662149861409
CreditReq,AggregateType.MAX,0.8,"('Register', 'Acceptance of requests')",0.23888106558242947
CreditReq,AggregateType.MAX,0.8,"('Acceptance of requests', 'Collection of documents')",0.21513091808570317
CreditReq,AggregateType.MAX,0.8,"('Collection of documents', 'Completeness check')",0.234954432034809
CreditReq,AggregateType.MAX,0.8,"('Completeness check', 'Credit worthiness check')",0.19219871300884686
CreditReq,AggregateType.MAX,0.8,"('Credit worthiness check', 'Collateral check')",0.1250587958783225
CreditReq,AggregateType.MAX,0.8,"('Collateral check', 'Credit committee')",0.031697788599960725
CreditReq,AggregateType.MAX,0.8,"('Credit committee', 'Requirements review')",0.13364329656434884
