dataset,aggregate_type,delta,median_epsilon,MAPE,SMAPE
BPIC13,AggregateType.FREQ,0.05,0.20016691711396528,0.5185945547189739,0.13661455630246216
BPIC13,AggregateType.FREQ,0.1,0.40134139092430254,0.2225869896147267,0.07781276861094918
BPIC13,AggregateType.FREQ,0.2,0.810930216216329,0.11435930422611149,0.047341504738950886
BPIC13,AggregateType.FREQ,0.3,1.2380784168124461,0.09572462747184884,0.03854138567808001
BPIC13,AggregateType.FREQ,0.4,1.6945957207744073,0.03762108169045631,0.017748218045328723
BPIC13,AggregateType.FREQ,0.5,2.197224577336219,0.04056610353704211,0.018236712380647196
BPIC13,AggregateType.FREQ,0.6,2.772588722239781,0.032643038345733476,0.015375250725578766
BPIC13,AggregateType.FREQ,0.7,3.4692021107762123,0.021767549634172816,0.0103567673242658
BPIC13,AggregateType.FREQ,0.8,4.394449154672437,0.019814507258675805,0.009601326343068328
BPIC13,AggregateType.FREQ,0.9,5.888877958332883,0.015190280397898794,0.007372396263144565
BPIC13,AggregateType.MAX,0.01,0.007319512912297335,20.67674006535773,1.0055250568096274
BPIC13,AggregateType.MAX,0.05,0.034358876414591406,3.5798679894809085,0.6202825756890619
BPIC13,AggregateType.MAX,0.1,0.05471270165424867,2.1215157625539582,0.5134733479124981
BPIC13,AggregateType.MAX,0.2,0.07451959205144551,1.5475284590050997,0.4123227285901817
BPIC13,AggregateType.MAX,0.3,0.08835831972143766,0.8347969228845068,0.2812442057830965
BPIC13,AggregateType.MAX,0.4,0.09996468514665834,0.7924653384178665,0.28335440754261537
BPIC13,AggregateType.MAX,0.5,0.11078249787839464,0.5858008930642212,0.22572732491794595
BPIC13,AggregateType.MAX,0.6,0.12175226954550702,0.3947714322424923,0.16196561070777493
BPIC13,AggregateType.MAX,0.7,0.13390173964262855,0.39423847366193304,0.16111097417519774
BPIC13,AggregateType.MAX,0.8,0.20439682587606461,0.3114864764511532,0.13301716156857663
BPIC13,AggregateType.MAX,0.9,0.22253572753505,0.2243752417023764,0.09910034793354563
BPIC13,AggregateType.MIN,0.01,1.1873935112510056e-07,43213608.97720738,1.9991056430547425
BPIC13,AggregateType.MIN,0.05,1.7842244491668841e-07,10622909.074406806,1.9975491389234974
BPIC13,AggregateType.MIN,0.1,3.0296814518747106e-07,8019909.3435889315,1.9907820885480256
BPIC13,AggregateType.MIN,0.2,6.054957723524458e-07,5280005.4357004315,1.9852076747383016
BPIC13,AggregateType.MIN,0.3,9.346136969718863e-07,4565444.98886294,1.9876066998186068
BPIC13,AggregateType.MIN,0.4,1.129170429997351e-06,4851448.360171169,1.977057243418426
BPIC13,AggregateType.MIN,0.5,1.2023390906690663e-06,3653054.518075199,1.9558462913649648
BPIC13,AggregateType.MIN,0.6,1.275585208613198e-06,3670825.0296767084,1.7679787469629737
BPIC13,AggregateType.MIN,0.7,1.355497424086583e-06,3640455.8255365267,1.7630580729345275
BPIC13,AggregateType.MIN,0.8,1.710281511212235e-06,2915769.8209492215,1.6278921881093364
BPIC13,AggregateType.MIN,0.9,2.2270173157028233e-06,3079678.4542383747,1.6314963473396908
BPIC13,AggregateType.SUM,0.01,0.23820203913868648,6.970190382840423,0.5286972023846743
BPIC13,AggregateType.SUM,0.05,0.40801225369989125,1.110010288878589,0.24647910996159883
BPIC13,AggregateType.SUM,0.1,0.48823518063582216,0.6208267681319966,0.18121509290438437
BPIC13,AggregateType.SUM,0.2,0.7937306332910908,0.3846443473337521,0.12469999691982107
BPIC13,AggregateType.SUM,0.3,1.210342445667647,0.24049674170206461,0.08885930559145575
BPIC13,AggregateType.SUM,0.4,1.6571097869996123,0.16414148393833866,0.06705610822246157
BPIC13,AggregateType.SUM,0.5,2.1480134413767504,0.12967555008649892,0.057352265826740176
BPIC13,AggregateType.SUM,0.6,5.134104546558695,0.06379195856530624,0.028899362647328276
BPIC13,AggregateType.SUM,0.7,5.493265552707981,0.058009863480212184,0.02679911438582371
BPIC13,AggregateType.SUM,0.8,6.4835454826363605,0.02058355680380755,0.010061596081237963
BPIC13,AggregateType.SUM,0.9,7.766014231718161,0.01969435060346136,0.009588590214249782
BPIC15,AggregateType.AVG,0.01,inf,0.00791384758870961,0.003879641809497722
BPIC15,AggregateType.AVG,0.05,inf,0.0019500892730261253,0.0009684388757210643
BPIC15,AggregateType.AVG,0.1,inf,0.001169558128758306,0.0005817409618508947
BPIC15,AggregateType.AVG,0.2,inf,0.0007401285097818337,0.000368274582936555
BPIC15,AggregateType.AVG,0.3,inf,0.0005765938190922797,0.0002869062542633867
BPIC15,AggregateType.AVG,0.4,inf,0.0004686885494401908,0.00023345471779475058
BPIC15,AggregateType.AVG,0.5,inf,0.000405078396063454,0.000201730654267336
BPIC15,AggregateType.AVG,0.6,inf,0.0003502123845889572,0.00017435859176711865
