dataset,aggregate_type,delta,edge,APE_freq
CreditReq,AggregateType.AVG,0.4,"('Register', 'Acceptance of requests')",2.7261984533590056e-05
CreditReq,AggregateType.AVG,0.4,"('Acceptance of requests', 'Acceptance of requests')",0.0001177205258569967
CreditReq,AggregateType.AVG,0.4,"('Acceptance of requests', 'Collection of documents')",4.803886632599902e-05
CreditReq,AggregateType.AVG,0.4,"('Collection of documents', 'Collection of documents')",3.935300742525027e-05
CreditReq,AggregateType.AVG,0.4,"('Collection of documents', 'Completeness check')",6.21441591614826e-05
CreditReq,AggregateType.AVG,0.4,"('Completeness check', 'Completeness check')",3.204319054069232e-05
CreditReq,AggregateType.AVG,0.4,"('Completeness check', 'Credit worthiness check')",6.522231093710598e-05
CreditReq,AggregateType.AVG,0.4,"('Credit worthiness check', 'Credit worthiness check')",1.1680775223767436e-05
CreditReq,AggregateType.AVG,0.4,"('Credit worthiness check', 'Collateral check')",1.2656477265119171e-05
CreditReq,AggregateType.AVG,0.4,"('Collateral check', 'Collateral check')",4.3508266468866955e-06
CreditReq,AggregateType.AVG,0.4,"('Collateral check', 'Credit committee')",0.00022534848312766198
CreditReq,AggregateType.AVG,0.4,"('Credit committee', 'Credit committee')",0.00015782636859472545
CreditReq,AggregateType.AVG,0.4,"('Credit committee', 'Requirements review')",1.1622092650188367e-05
CreditReq,AggregateType.AVG,0.4,"('Requirements review', 'Requirements review')",3.079269461846484e-05
CreditReq,AggregateType.SUM,0.4,"('Register', 'Acceptance of requests')",1.0312483649890903e-05
CreditReq,AggregateType.SUM,0.4,"('Acceptance of requests', 'Acceptance of requests')",4.1616982096594684e-05
CreditReq,AggregateType.SUM,0.4,"('Acceptance of requests', 'Collection of documents')",4.3711724998800356e-05
CreditReq,AggregateType.SUM,0.4,"('Collection of documents', 'Collection of documents')",1.1750094265468567e-05
CreditReq,AggregateType.SUM,0.4,"('Collection of documents', 'Completeness check')",4.083469028596376e-05
CreditReq,AggregateType.SUM,0.4,"('Completeness check', 'Completeness check')",8.489744489923113e-05
CreditReq,AggregateType.SUM,0.4,"('Completeness check', 'Credit worthiness check')",1.5663194632730826e-05
CreditReq,AggregateType.SUM,0.4,"('Credit worthiness check', 'Credit worthiness check')",4.545386837052975e-05
CreditReq,AggregateType.SUM,0.4,"('Credit worthiness check', 'Collateral check')",2.5469202459598107e-05
CreditReq,AggregateType.SUM,0.4,"('Collateral check', 'Collateral check')",0.00010545755009445232
CreditReq,AggregateType.SUM,0.4,"('Collateral check', 'Credit committee')",2.6901875186723615e-05
CreditReq,AggregateType.SUM,0.4,"('Credit committee', 'Credit committee')",0.0001696018541262088
CreditReq,AggregateType.SUM,0.4,"('Credit committee', 'Requirements review')",2.214710636834973e-05
CreditReq,AggregateType.SUM,0.4,"('Requirements review', 'Requirements review')",1.698782035850707e-05
CreditReq,AggregateType.MIN,0.4,"('Register', 'Acceptance of requests')",4.076005697237199e-05
CreditReq,AggregateType.MIN,0.4,"('Acceptance of requests', 'Acceptance of requests')",7.027993549802161e-05
CreditReq,AggregateType.MIN,0.4,"('Acceptance of requests', 'Collection of documents')",8.512072642094972e-05
CreditReq,AggregateType.MIN,0.4,"('Collection of documents', 'Collection of documents')",9.216807692336762e-07
CreditReq,AggregateType.MIN,0.4,"('Collection of documents', 'Completeness check')",0.00011138401290655847
CreditReq,AggregateType.MIN,0.4,"('Completeness check', 'Completeness check')",6.0908276384548915e-05
CreditReq,AggregateType.MIN,0.4,"('Completeness check', 'Credit worthiness check')",6.971879541939999e-06
CreditReq,AggregateType.MIN,0.4,"('Credit worthiness check', 'Credit worthiness check')",9.323170682576967e-05
CreditReq,AggregateType.MIN,0.4,"('Credit worthiness check', 'Collateral check')",1.949059308204518e-06
