dataset,aggregate_type,emd,delta
Hospital,AggregateType.AVG,0.05,0.7620657836664952
Hospital,AggregateType.AVG,0.05,0.5527414863816189
Hospital,AggregateType.AVG,0.05,0.3353788163644307
Hospital,AggregateType.AVG,0.05,0.9281272497197648
Hospital,AggregateType.AVG,0.05,0.024887671462699816
Hospital,AggregateType.AVG,0.05,0.9972248650487647
Hospital,AggregateType.AVG,0.05,1.0
Hospital,AggregateType.AVG,0.05,0.08061712836083468
Hospital,AggregateType.AVG,0.05,0.8181818181818181
Hospital,AggregateType.AVG,0.05,0.9999999998
Hospital,AggregateType.AVG,0.05,0.5412652847729675
Hospital,AggregateType.AVG,0.05,0.9880817629476656
Hospital,AggregateType.AVG,0.05,0.9801980198019802
Hospital,AggregateType.AVG,0.05,0.011813637615124392
Hospital,AggregateType.AVG,0.05,0.021739587402710717
Hospital,AggregateType.AVG,0.05,0.14561889754425494
Hospital,AggregateType.AVG,0.05,0.8372446021128078
Hospital,AggregateType.AVG,0.05,0.9972248650487647
Hospital,AggregateType.AVG,0.05,0.3353788163644307
Hospital,AggregateType.AVG,0.05,0.05045241366313861
Hospital,AggregateType.AVG,0.05,0.9936953816334796
Hospital,AggregateType.AVG,0.05,0.7263862227935801
Hospital,AggregateType.AVG,0.05,0.3450192866699701
Hospital,AggregateType.AVG,0.05,0.16770832242219247
Hospital,AggregateType.AVG,0.05,0.999980000199998
Hospital,AggregateType.AVG,0.05,0.5646318840142971
Hospital,AggregateType.AVG,0.05,0.9998000199980002
Hospital,AggregateType.AVG,0.05,0.02149608205966357
Hospital,AggregateType.AVG,0.05,0.9990721129203082
Hospital,AggregateType.AVG,0.05,0.999980000199998
Hospital,AggregateType.AVG,0.05,0.15964260852992912
Hospital,AggregateType.AVG,0.05,0.9112859641113971
Hospital,AggregateType.AVG,0.05,0.7804925557983173
Hospital,AggregateType.AVG,0.05,0.0222220658499137
Hospital,AggregateType.AVG,0.05,0.24017127212282097
Hospital,AggregateType.AVG,0.05,0.2644549862879938
Hospital,AggregateType.AVG,0.05,0.07535149396409908
Hospital,AggregateType.AVG,0.05,0.9972248650487647
Hospital,AggregateType.AVG,0.05,1.0
Hospital,AggregateType.AVG,0.05,0.7620657836664952
Hospital,AggregateType.AVG,0.05,0.7620657836664952
Hospital,AggregateType.AVG,0.05,1.0
Hospital,AggregateType.AVG,0.05,1.0
Hospital,AggregateType.AVG,0.05,0.0890112813038916
Hospital,AggregateType.AVG,0.05,0.9936953816334796
Hospital,AggregateType.AVG,0.05,0.489562606503389
Hospital,AggregateType.AVG,0.05,0.026219332075941668
Hospital,AggregateType.AVG,0.05,0.025924202388814307
Hospital,AggregateType.AVG,0.05,0.0248339984820501
Hospital,AggregateType.AVG,0.05,0.023419776733313316
Hospital,AggregateType.AVG,0.05,0.02068514509560521
Hospital,AggregateType.AVG,0.05,0.019106264564204205
