dataset,aggregate_type,delta,edge,APE_freq
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_010', '01_HOOFD_011')",0.00010831521035649523
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_011', '01_HOOFD_020')",0.0009696095761119161
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_020', '02_DRZ_010')",0.0009843390313957745
BPIC15,AggregateType.AVG,0.6,"('02_DRZ_010', '04_BPT_005')",0.0014548093428791823
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_110_0', '01_HOOFD_100_0')",0.004850770560673025
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_100_0', '01_HOOFD_015')",0.0050227918274509875
BPIC15,AggregateType.AVG,0.6,"('11_AH_II_010', '13_CRD_010')",0.0012195141298796475
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_2', '01_HOOFD_491')",0.0024069551575614918
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_500', '01_HOOFD_510_0')",0.0010667910542424555
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_4', '01_HOOFD_515')",0.0030908902054150823
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_005', '08_AWB45_010')",0.0006197434812435177
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_010', '08_AWB45_020_0')",0.0004773317333060964
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_020_1', '08_AWB45_025')",0.006672774784694754
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_030', '08_AWB45_040')",0.0026392581462424663
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_040', '08_AWB45_045')",0.004074798616848473
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_196', '01_HOOFD_200')",0.00023490335719951805
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_193', '08_AWB45_005')",0.004685242080894802
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_025', '08_AWB45_020_1')",0.00046297852326464896
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_020_1', '08_AWB45_020_2')",0.0014601757071585194
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_040', '08_AWB45_051_0')",0.005813842361039376
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_1', '01_HOOFD_510_3')",0.00039570112704435614
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_3', '01_HOOFD_515')",0.0010570546140791655
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5a', '01_HOOFD_490_5')",0.001329710211986846
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5', '01_HOOFD_510_2')",0.0004448853211370537
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_3', '01_HOOFD_532')",0.07171219067169939
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_2a', '01_HOOFD_490_5a')",0.00048800621932961624
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_532', '01_HOOFD_510_3')",0.013454961882818495
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_3a', '01_HOOFD_510_2a')",0.012485048716207148
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_495', '01_HOOFD_510_1')",0.0018212863196489452
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_330', '01_HOOFD_350_0')",0.040036872064887374
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_350_0', '09_AH_I_010')",0.01032277506246726
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_1', '01_HOOFD_250_2')",0.0006820504256584248
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1', '01_HOOFD_332')",0.042604091777929565
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_370', '01_HOOFD_375')",0.003930681256310414
BPIC15,AggregateType.AVG,0.6,"('06_VD_030_2', '03_VD_060_0')",0.0266804638922128
BPIC15,AggregateType.AVG,0.6,"('03_VD_060_0', '06_VD_010')",0.027475219824186162
BPIC15,AggregateType.AVG,0.6,"('06_VD_060_3', '06_VD_030_4')",0.06533088575007732
BPIC15,AggregateType.AVG,0.6,"('06_VD_030_3', '06_VD_060_2')",0.016164705670314382
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_065_0', '01_HOOFD_090')",0.002672994290594869
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_090', '01_HOOFD_110_0')",0.006795862766803992
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_200', '01_HOOFD_250_0')",0.0014568043614642716
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_0', '01_HOOFD_330')",0.002951808783495281
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_070_2', '08_AWB45_090_0')",0.002738855955330054
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_090_3', '08_AWB45_070_3a')",0.05535925160597355
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_070_3a', '08_AWB45_070_1')",0.02104565580402067
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_090_2a', '08_AWB45_070_4')",0.00283734630910093
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_070_3', '08_AWB45_090_2')",0.021260697688741774
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1', '01_HOOFD_490_3')",0.001530575836966698
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_810', '01_BB_770')",0.01230724573860484
BPIC15,AggregateType.AVG,0.6,"('01_BB_770', '01_BB_540')",0.023918865351322805
BPIC15,AggregateType.AVG,0.6,"('01_BB_775', '01_HOOFD_814')",0.011821599477659372
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_494a', '01_HOOFD_495')",0.0017943312465273542
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_809', '01_HOOFD_811')",0.06736007145022427
BPIC15,AggregateType.AVG,0.6,"('04_BPT_005', '04_BPT_009')",0.03247762615538644
BPIC15,AggregateType.AVG,0.6,"('04_BPT_010', '04_BPT_020')",0.007862503455328969
BPIC15,AggregateType.AVG,0.6,"('04_BPT_020', '04_BPT_030')",0.005653732497591572
BPIC15,AggregateType.AVG,0.6,"('04_BPT_021', '04_BPT_029')",0.051100394275980676
BPIC15,AggregateType.AVG,0.6,"('04_BPT_029', '01_HOOFD_101')",0.029596957239243337
BPIC15,AggregateType.AVG,0.6,"('13_CRD_010', '13_CRD_020')",0.017444216768173648
BPIC15,AggregateType.AVG,0.6,"('06_VD_030_4', '06_VD_060_2a')",0.0018513700501632258
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_440_1', '01_HOOFD_331')",0.7776272513395845
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_331', '01_HOOFD_440_2')",0.1080315462901813
BPIC15,AggregateType.AVG,0.6,"('01_BB_540', '01_HOOFD_809c')",0.02997826711426502
