dataset,aggregate_type,delta,edge,APE_time
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_010', '01_HOOFD_011')",0.0022341249329069016
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_011', '01_HOOFD_020')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_020', '02_DRZ_010')",0.0574420273637537
BPIC15,AggregateType.AVG,0.05,"('02_DRZ_010', '04_BPT_005')",0.00870172215553191
BPIC15,AggregateType.AVG,0.05,"('04_BPT_005', '01_HOOFD_065_0')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_065_0', '01_HOOFD_110_0')",0.002781960259893947
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_110_0', '01_HOOFD_100_0')",0.02095593674652926
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_100_0', '01_HOOFD_015')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_015', '01_HOOFD_061')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_061', '01_HOOFD_101')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_101', '01_HOOFD_030_1')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_030_1', '01_HOOFD_030_2')",0.01042767669791447
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_030_2', '08_AWB45_005')",0.0006129335790463595
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_005', '01_HOOFD_200')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_200', '01_HOOFD_330')",0.0
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_330', '09_AH_I_010')",0.03886859547003108
BPIC15,AggregateType.AVG,0.05,"('09_AH_I_010', '01_HOOFD_380')",0.0010147556024602306
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_380', '01_HOOFD_430')",0.035492568411208424
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_430', '11_AH_II_010')",0.05601278886419311
