dataset,aggregate_type,delta,epsilon_freq,epsilon_time,MAPE_freq,SMAPE_freq,MAPE_time,SMAPE_time
CreditReq,AggregateType.AVG,0.5,2.1972245773362196,0.0005412435862718182,4.534305310723518e-05,2.2670542188624677e-05,3.0972065611304704,0.4786597487086378
CreditReq,AggregateType.SUM,0.5,2.1972245773362196,5.4557353496199275,3.751195715380352e-05,1.8755419719070764e-05,0.0019542262860161217,0.000974541214569894
CreditReq,AggregateType.MIN,0.5,2.1972245773362196,0.0003341881129584104,4.291575678423121e-05,2.1457043184834226e-05,186.0411556689312,0.9390968967265962
CreditReq,AggregateType.MAX,0.5,2.1972245773362196,0.48123088266011094,5.273115364535465e-05,2.6364259668927477e-05,0.3828772180550916,0.13565892830942544
