dataset,aggregate_type,delta,edge,APE_freq
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_010', '01_HOOFD_011')",0.00585017617246464
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_011', '01_HOOFD_020')",0.01839777433102158
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_020', '02_DRZ_010')",0.0064789627350571545
BPIC15,AggregateType.AVG,0.05,"('02_DRZ_010', '04_BPT_005')",0.003291410719350614
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_110_0', '01_HOOFD_100_0')",0.06997492363887628
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_100_0', '01_HOOFD_015')",0.06901585926426226
BPIC15,AggregateType.AVG,0.05,"('11_AH_II_010', '13_CRD_010')",0.007635556173903817
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_490_2', '01_HOOFD_491')",0.05051644446397648
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_500', '01_HOOFD_510_0')",0.02456224256476594
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_510_4', '01_HOOFD_515')",0.1346295065184456
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_005', '08_AWB45_010')",0.04908450862599506
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_010', '08_AWB45_020_0')",0.004764466744999178
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_020_1', '08_AWB45_025')",0.12154476287392073
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_030', '08_AWB45_040')",0.012432050560390005
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_040', '08_AWB45_045')",0.0041898388032537755
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_196', '01_HOOFD_200')",0.010615263043440364
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_193', '08_AWB45_005')",0.19631866890046012
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_025', '08_AWB45_020_1')",0.1666455927300317
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_020_1', '08_AWB45_020_2')",0.04163971880372243
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_040', '08_AWB45_051_0')",0.09048175776666767
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_510_1', '01_HOOFD_510_3')",0.007225081057486855
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_510_3', '01_HOOFD_515')",0.11131086434327897
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_490_5a', '01_HOOFD_490_5')",0.28338286849815253
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_490_5', '01_HOOFD_510_2')",0.00616821992185217
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_510_3', '01_HOOFD_532')",0.5486757623435509
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_510_2a', '01_HOOFD_490_5a')",0.07208117614141812
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_532', '01_HOOFD_510_3')",0.03187573588193917
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_490_3a', '01_HOOFD_510_2a')",0.23438264055233637
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_495', '01_HOOFD_510_1')",0.0009131667645845504
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_330', '01_HOOFD_350_0')",0.8216172789746063
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_350_0', '09_AH_I_010')",2.1242850866491265
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_250_1', '01_HOOFD_250_2')",0.010222511691604525
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_490_1', '01_HOOFD_332')",2.2099235726343296
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_370', '01_HOOFD_375')",0.0069220381882187714
BPIC15,AggregateType.AVG,0.05,"('06_VD_030_2', '03_VD_060_0')",0.25996289307976594
BPIC15,AggregateType.AVG,0.05,"('03_VD_060_0', '06_VD_010')",0.16193506293488127
BPIC15,AggregateType.AVG,0.05,"('06_VD_060_3', '06_VD_030_4')",0.08028954939446138
BPIC15,AggregateType.AVG,0.05,"('06_VD_030_3', '06_VD_060_2')",0.7257414438053698
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_065_0', '01_HOOFD_090')",0.0026023814174188195
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_090', '01_HOOFD_110_0')",0.05148267160881514
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_200', '01_HOOFD_250_0')",0.1638198422113116
BPIC15,AggregateType.AVG,0.05,"('01_HOOFD_250_0', '01_HOOFD_330')",0.035885981229868365
BPIC15,AggregateType.AVG,0.05,"('08_AWB45_070_2', '08_AWB45_090_0')",0.1386026225119398
