dataset,aggregate_type,delta,edge,APE_time
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_010', '01_HOOFD_011')",0.0005446469719241218
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_011', '01_HOOFD_020')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_020', '02_DRZ_010')",0.007730178938145387
BPIC15,AggregateType.AVG,0.6,"('02_DRZ_010', '04_BPT_005')",0.010081633895047494
BPIC15,AggregateType.AVG,0.6,"('04_BPT_005', '01_HOOFD_065_0')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_065_0', '01_HOOFD_110_0')",0.001202755152244149
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_110_0', '01_HOOFD_100_0')",0.003903980890037703
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_100_0', '01_HOOFD_015')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_015', '01_HOOFD_061')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_061', '01_HOOFD_101')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_101', '01_HOOFD_030_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_030_1', '01_HOOFD_030_2')",0.0009629687150017875
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_030_2', '08_AWB45_005')",0.0007111750791942931
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_005', '01_HOOFD_200')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_200', '01_HOOFD_330')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_330', '09_AH_I_010')",0.02282836149033013
BPIC15,AggregateType.AVG,0.6,"('09_AH_I_010', '01_HOOFD_380')",0.0201347347233485
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_380', '01_HOOFD_430')",0.005151219475553729
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_430', '11_AH_II_010')",0.0028631498835048823
BPIC15,AggregateType.AVG,0.6,"('11_AH_II_010', '13_CRD_010')",0.0027530307608730565
BPIC15,AggregateType.AVG,0.6,"('13_CRD_010', '01_HOOFD_480')",0.007617382715668321
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_480', '01_HOOFD_490_2')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_2', '01_HOOFD_491')",0.006845558438077737
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_491', '01_HOOFD_180')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_180', '01_HOOFD_494a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_494a', '01_HOOFD_490_4')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_4', '01_HOOFD_195')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_195', '01_HOOFD_375')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_375', '01_HOOFD_490_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1', '01_HOOFD_250_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_1', '01_HOOFD_370')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_370', '01_HOOFD_250_2')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_2', '01_HOOFD_490_1a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1a', '01_HOOFD_500')",0.00039353771423847377
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_500', '01_HOOFD_510_0')",0.002929343852946315
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_0', '01_HOOFD_510_1')",0.0011691701431533897
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_1', '01_HOOFD_490_5')",0.00014485824173421401
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5', '01_HOOFD_510_3')",0.0012832703630001943
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_3', '01_HOOFD_490_5a')",0.00015569795006093517
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5a', '01_HOOFD_495')",0.00018787020232329126
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_495', '01_HOOFD_510_4')",0.002034679247202757
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_4', '01_HOOFD_515')",0.002555748864334707
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_515', '01_HOOFD_510_2')",0.0005530350899925455
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_2', '01_HOOFD_510_2a')",0.00022434228706605416
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_100_0', '01_HOOFD_011')",0.0
BPIC15,AggregateType.AVG,0.6,"('04_BPT_005', '01_HOOFD_010')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_010', '01_HOOFD_061')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_061', '01_HOOFD_015')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_015', '01_HOOFD_030_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_030_1', '01_HOOFD_101')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_101', '01_HOOFD_030_2')",0.0003340848896066012
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_005', '08_AWB45_010')",0.00557867745777452
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_010', '08_AWB45_020_0')",0.0
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_020_0', '01_HOOFD_180')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_180', '08_AWB45_020_1')",0.00012599712490785327
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_020_1', '08_AWB45_025')",0.000500923934647234
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_025', '08_AWB45_020_2')",5.2719176357832426e-05
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_020_2', '08_AWB45_030')",9.572479574669012e-05
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_030', '08_AWB45_040')",0.0027927962955904854
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_040', '08_AWB45_045')",0.0018951051751666262
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_045', '01_HOOFD_193')",7.045519501777091e-05
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_193', '08_AWB45_051_0')",0.0
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_051_0', '01_HOOFD_196')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_196', '01_HOOFD_200')",0.013882650499697724
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_491', '01_HOOFD_500')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_0', '08_AWB45_005')",0.0
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_005', '01_HOOFD_510_4')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_4', '01_HOOFD_495')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_495', '01_HOOFD_375')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_375', '01_HOOFD_515')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_515', '01_HOOFD_370')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_370', '01_HOOFD_490_4')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_4', '01_HOOFD_490_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1', '01_HOOFD_250_2')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_2', '01_HOOFD_250_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_1', '01_HOOFD_510_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_1', '01_HOOFD_490_1a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1a', '01_HOOFD_510_3')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_3', '01_HOOFD_494a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_494a', '01_HOOFD_195')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_195', '01_HOOFD_510_2a')",6.769461984020471e-05
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_2a', '01_HOOFD_490_5')",0.0035223314417283562
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5', '01_HOOFD_490_5a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5a', '01_HOOFD_510_2')",9.219637937033564e-05
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_015', '01_HOOFD_101')",0.0013825785689014311
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_030_1', '01_HOOFD_061')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_061', '01_HOOFD_030_2')",0.0003367333004153953
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_020_2', '08_AWB45_040')",1.530281230532843e-05
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_040', '08_AWB45_030')",5.023465195037866e-05
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_030', '08_AWB45_045')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_193', '08_AWB45_005')",0.0004450624475792508
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_005', '01_HOOFD_196')",0.006122887448153776
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_2', '08_AWB45_051_0')",0.0
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_051_0', '01_HOOFD_490_1a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1a', '01_HOOFD_490_4')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_4', '01_HOOFD_375')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_375', '01_HOOFD_195')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_195', '01_HOOFD_250_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_1', '01_HOOFD_490_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_1', '01_HOOFD_370')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_2', '01_HOOFD_491')",9.628621466203257e-05
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_491', '01_HOOFD_494a')",0.000679973547142021
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_494a', '01_HOOFD_500')",0.0006359367348539506
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_0', '01_HOOFD_510_3')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_3', '01_HOOFD_510_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_1', '01_HOOFD_510_4')",0.000691856152893621
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_515', '01_HOOFD_495')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_495', '01_HOOFD_510_2')",0.00035256522597031147
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_100_0', '01_HOOFD_061')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_061', '01_HOOFD_030_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_101', '01_HOOFD_015')",0.005967792396342412
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_015', '01_HOOFD_030_2')",0.0005108451050697694
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_180', '08_AWB45_025')",0.0009216938099761982
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_025', '08_AWB45_020_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_020_1', '08_AWB45_020_2')",0.0017719385926428647
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_040', '08_AWB45_051_0')",0.0005265221698090646
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_051_0', '01_HOOFD_193')",0.00016004324845587725
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_193', '08_AWB45_030')",0.0
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_045', '01_HOOFD_196')",0.00011308116387220611
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_491', '08_AWB45_005')",0.0
BPIC15,AggregateType.AVG,0.6,"('08_AWB45_005', '01_HOOFD_250_2')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_2', '01_HOOFD_195')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_370', '01_HOOFD_250_1')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_250_1', '01_HOOFD_490_1a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_4', '01_HOOFD_494a')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_1', '01_HOOFD_510_3')",0.00024318847535914197
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_3', '01_HOOFD_515')",4.39784384076658e-05
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_515', '01_HOOFD_532')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_532', '01_HOOFD_495')",0.0
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_510_4', '01_HOOFD_490_5a')",0.0005499981387944656
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5a', '01_HOOFD_490_5')",0.0049401046171641365
BPIC15,AggregateType.AVG,0.6,"('01_HOOFD_490_5', '01_HOOFD_510_2')",0.0006320944705021607
