dataset,aggregate_type,delta,edge,APE_time
CreditReq,AggregateType.AVG,0.01,"('Register', 'Acceptance of requests')",10.994651691024622
CreditReq,AggregateType.AVG,0.01,"('Acceptance of requests', 'Collection of documents')",9.20628188174916
CreditReq,AggregateType.AVG,0.01,"('Collection of documents', 'Completeness check')",12.535318624831618
CreditReq,AggregateType.AVG,0.01,"('Completeness check', 'Credit worthiness check')",2.278103095281876
CreditReq,AggregateType.AVG,0.01,"('Credit worthiness check', 'Collateral check')",72.53544799632296
CreditReq,AggregateType.AVG,0.01,"('Collateral check', 'Credit committee')",61.105745986803186
CreditReq,AggregateType.AVG,0.01,"('Credit committee', 'Requirements review')",48.58033846764688
CreditReq,AggregateType.SUM,0.01,"('Register', 'Acceptance of requests')",0.08584134972668059
CreditReq,AggregateType.SUM,0.01,"('Acceptance of requests', 'Collection of documents')",0.055198178853319575
CreditReq,AggregateType.SUM,0.01,"('Collection of documents', 'Completeness check')",0.0011431392942484438
CreditReq,AggregateType.SUM,0.01,"('Completeness check', 'Credit worthiness check')",0.01227398343272375
CreditReq,AggregateType.SUM,0.01,"('Credit worthiness check', 'Collateral check')",0.012838338588152995
CreditReq,AggregateType.SUM,0.01,"('Collateral check', 'Credit committee')",0.007070665943143167
CreditReq,AggregateType.SUM,0.01,"('Credit committee', 'Requirements review')",0.02381619116602907
CreditReq,AggregateType.MIN,0.01,"('Register', 'Acceptance of requests')",4817.287501546563
CreditReq,AggregateType.MIN,0.01,"('Acceptance of requests', 'Collection of documents')",44431.526100805684
CreditReq,AggregateType.MIN,0.01,"('Collection of documents', 'Completeness check')",4994.283060951857
CreditReq,AggregateType.MIN,0.01,"('Completeness check', 'Credit worthiness check')",485.53394325618893
CreditReq,AggregateType.MIN,0.01,"('Credit worthiness check', 'Collateral check')",10687.467283587568
CreditReq,AggregateType.MIN,0.01,"('Collateral check', 'Credit committee')",1015.9701353815432
CreditReq,AggregateType.MIN,0.01,"('Credit committee', 'Requirements review')",1363.5123117423382
CreditReq,AggregateType.MAX,0.01,"('Register', 'Acceptance of requests')",2.928784594949776
CreditReq,AggregateType.MAX,0.01,"('Acceptance of requests', 'Collection of documents')",15.61990396355693
CreditReq,AggregateType.MAX,0.01,"('Collection of documents', 'Completeness check')",16.278571335972206
CreditReq,AggregateType.MAX,0.01,"('Completeness check', 'Credit worthiness check')",13.913443684888605
CreditReq,AggregateType.MAX,0.01,"('Credit worthiness check', 'Collateral check')",10.670318335639413
CreditReq,AggregateType.MAX,0.01,"('Collateral check', 'Credit committee')",3.8469580219657824
CreditReq,AggregateType.MAX,0.01,"('Credit committee', 'Requirements review')",3.276611619625427
