dataset,aggregate_type,delta,edge,APE_freq
CreditReq,AggregateType.AVG,0.05,"('Register', 'Acceptance of requests')",4.684330895698986e-05
CreditReq,AggregateType.AVG,0.05,"('Acceptance of requests', 'Acceptance of requests')",0.0006723018549880439
CreditReq,AggregateType.AVG,0.05,"('Acceptance of requests', 'Collection of documents')",0.0006703719914383996
CreditReq,AggregateType.AVG,0.05,"('Collection of documents', 'Collection of documents')",0.00013244603082248672
CreditReq,AggregateType.AVG,0.05,"('Collection of documents', 'Completeness check')",0.0013697871975267772
CreditReq,AggregateType.AVG,0.05,"('Completeness check', 'Completeness check')",0.0007012764020062443
CreditReq,AggregateType.AVG,0.05,"('Completeness check', 'Credit worthiness check')",0.0005846014127986089
CreditReq,AggregateType.AVG,0.05,"('Credit worthiness check', 'Credit worthiness check')",0.0001507490318458923
CreditReq,AggregateType.AVG,0.05,"('Credit worthiness check', 'Collateral check')",0.0002982528637663109
CreditReq,AggregateType.AVG,0.05,"('Collateral check', 'Collateral check')",0.00030512104501190685
CreditReq,AggregateType.AVG,0.05,"('Collateral check', 'Credit committee')",0.0009159193003737266
CreditReq,AggregateType.AVG,0.05,"('Credit committee', 'Credit committee')",0.00042215142666477686
CreditReq,AggregateType.AVG,0.05,"('Credit committee', 'Requirements review')",0.0006310519607515561
CreditReq,AggregateType.AVG,0.05,"('Requirements review', 'Requirements review')",4.609421340714996e-05
CreditReq,AggregateType.SUM,0.05,"('Register', 'Acceptance of requests')",0.0025358467667476
CreditReq,AggregateType.SUM,0.05,"('Acceptance of requests', 'Acceptance of requests')",0.00033101720005924426
CreditReq,AggregateType.SUM,0.05,"('Acceptance of requests', 'Collection of documents')",2.851226483352057e-05
CreditReq,AggregateType.SUM,0.05,"('Collection of documents', 'Collection of documents')",0.00021897871748425773
CreditReq,AggregateType.SUM,0.05,"('Collection of documents', 'Completeness check')",0.00037159431793819757
CreditReq,AggregateType.SUM,0.05,"('Completeness check', 'Completeness check')",0.0008724373335198031
CreditReq,AggregateType.SUM,0.05,"('Completeness check', 'Credit worthiness check')",0.00044101867164917524
CreditReq,AggregateType.SUM,0.05,"('Credit worthiness check', 'Credit worthiness check')",0.000615732544435809
CreditReq,AggregateType.SUM,0.05,"('Credit worthiness check', 'Collateral check')",9.595817495247372e-05
CreditReq,AggregateType.SUM,0.05,"('Collateral check', 'Collateral check')",0.0003020134743309412
CreditReq,AggregateType.SUM,0.05,"('Collateral check', 'Credit committee')",0.00016504776616264283
CreditReq,AggregateType.SUM,0.05,"('Credit committee', 'Credit committee')",1.4842578507529449e-05
CreditReq,AggregateType.SUM,0.05,"('Credit committee', 'Requirements review')",0.0007577896049140348
CreditReq,AggregateType.SUM,0.05,"('Requirements review', 'Requirements review')",7.9992308708414e-05
CreditReq,AggregateType.MIN,0.05,"('Register', 'Acceptance of requests')",0.0003515134832030922
CreditReq,AggregateType.MIN,0.05,"('Acceptance of requests', 'Acceptance of requests')",0.0008665819984163314
CreditReq,AggregateType.MIN,0.05,"('Acceptance of requests', 'Collection of documents')",9.496638411932994e-05
CreditReq,AggregateType.MIN,0.05,"('Collection of documents', 'Collection of documents')",0.0013724749562828717
CreditReq,AggregateType.MIN,0.05,"('Collection of documents', 'Completeness check')",0.0003228194113518964
CreditReq,AggregateType.MIN,0.05,"('Completeness check', 'Completeness check')",0.000426996630946982
CreditReq,AggregateType.MIN,0.05,"('Completeness check', 'Credit worthiness check')",0.00044415431953512296
CreditReq,AggregateType.MIN,0.05,"('Credit worthiness check', 'Credit worthiness check')",0.0004050956847851548
CreditReq,AggregateType.MIN,0.05,"('Credit worthiness check', 'Collateral check')",0.0008071257627240136
CreditReq,AggregateType.MIN,0.05,"('Collateral check', 'Collateral check')",0.0005523672317777733
CreditReq,AggregateType.MIN,0.05,"('Collateral check', 'Credit committee')",0.0002392171670921606
CreditReq,AggregateType.MIN,0.05,"('Credit committee', 'Credit committee')",0.0001707632305160392
CreditReq,AggregateType.MIN,0.05,"('Credit committee', 'Requirements review')",0.0002315657990895219
CreditReq,AggregateType.MIN,0.05,"('Requirements review', 'Requirements review')",0.00033633280368848957
CreditReq,AggregateType.MAX,0.05,"('Register', 'Acceptance of requests')",0.0005171925945544962
CreditReq,AggregateType.MAX,0.05,"('Acceptance of requests', 'Acceptance of requests')",0.00025803696725866813
CreditReq,AggregateType.MAX,0.05,"('Acceptance of requests', 'Collection of documents')",0.0005919487692211784
CreditReq,AggregateType.MAX,0.05,"('Collection of documents', 'Collection of documents')",1.3180664224892298e-05
CreditReq,AggregateType.MAX,0.05,"('Collection of documents', 'Completeness check')",0.0005136184529465095
CreditReq,AggregateType.MAX,0.05,"('Completeness check', 'Completeness check')",0.0002939605754912815
CreditReq,AggregateType.MAX,0.05,"('Completeness check', 'Credit worthiness check')",0.0005936530095640776
CreditReq,AggregateType.MAX,0.05,"('Credit worthiness check', 'Credit worthiness check')",0.0010717771642596663
CreditReq,AggregateType.MAX,0.05,"('Credit worthiness check', 'Collateral check')",0.0006217581415660725
CreditReq,AggregateType.MAX,0.05,"('Collateral check', 'Collateral check')",0.00027459557649896156
CreditReq,AggregateType.MAX,0.05,"('Collateral check', 'Credit committee')",0.00014753049802465837
CreditReq,AggregateType.MAX,0.05,"('Credit committee', 'Credit committee')",0.0003636598012195603
CreditReq,AggregateType.MAX,0.05,"('Credit committee', 'Requirements review')",0.0005055939198055451
CreditReq,AggregateType.MAX,0.05,"('Requirements review', 'Requirements review')",0.0005285457458635757
