dataset,aggregate_type,alpha,epsilon_freq,epsilon_time,delta_freq_median,delta_time_median,delta_freq_max,delta_time_max
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,0.00445408753674181,3.415329953563181,0.03947493274323463,0.5692581439912401,0.3882286672658292,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,0.0008908175073483618,0.6830659907126363,0.007898926942586823,0.5692581439912401,0.08175961807882698,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,0.0004454087536741809,0.34153299535631815,0.00394952507798021,0.5692581439911084,0.04094835498590193,0.9995611668224602
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.2,0.00022270437683709045,0.17076649767815907,0.001974770240006123,0.5692577225828417,0.020482767306288095,0.998882536899253
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.3,0.00014846958455806033,0.11384433178543937,0.0013165144440854095,0.5691960486818173,0.013656239307863766,0.985182343771538
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.4,0.00011135218841854523,0.08538324883907954,0.0009873860826356735,0.5685048929676351,0.010242458055677783,0.9460706095141521
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.5,8.908175073483619e-05,0.06830659907126363,0.0007899089585214025,0.5658985939316685,0.00819406960172877,0.9047567327432877
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.6,7.423479227903016e-05,0.05692216589271969,0.0006582575072675007,0.5601929290645941,0.006828438032531456,0.8477796704115782
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.7,6.362982195345442e-05,0.048790427908045456,0.000564220742135533,0.550937872559644,0.005852971020151552,0.7890182923461941
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.8,5.567609420927261e-05,0.04269162441953977,0.0004936931616470679,0.5383919814497085,0.005121363349290568,0.7332897906526663
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.9,4.9489861519353436e-05,0.03794811059514646,0.0004388383733912922,0.5232219556792679,0.00455233133029421,0.681041348949884
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.01,0.00445408753674181,1.0,0.03947493274323463,0.5692581439912401,0.3882286672658292,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.05,0.0008908175073483618,0.7218631984467445,0.007898926942586823,0.5692581439912401,0.08175961807882698,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.1,0.0004454087536741809,0.36093159922337226,0.00394952507798021,0.5692581439912401,0.04094835498590193,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.2,0.00022270437683709045,0.18046579961168613,0.001974770240006123,0.5692581439912401,0.020482767306288095,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.3,0.00014846958455806033,0.12031053307445747,0.0013165144440854095,0.5692581439912401,0.013656239307863766,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.4,0.00011135218841854523,0.09023289980584306,0.0009873860826356735,0.5692581439912401,0.010242458055677783,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.5,8.908175073483619e-05,0.07218631984467447,0.0007899089585214025,0.5692581439912401,0.00819406960172877,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.6,7.423479227903016e-05,0.06015526653722873,0.0006582575072675007,0.5692581439912401,0.006828438032531456,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.7,6.362982195345442e-05,0.05156165703191034,0.000564220742135533,0.5692581439912401,0.005852971020151552,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.8,5.567609420927261e-05,0.04511644990292153,0.0004936931616470679,0.5692581439912401,0.005121363349290568,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.9,4.9489861519353436e-05,0.04010351102481914,0.0004388383733912922,0.5692581439912401,0.00455233133029421,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.01,0.00445408753674181,0.24670777816262657,0.03947493274323463,0.5692581439912401,0.3882286672658292,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.05,0.0008908175073483618,0.04934155563252531,0.007898926942586823,0.5691742813356694,0.08175961807882698,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.1,0.0004454087536741809,0.024670777816262656,0.00394952507798021,0.5283182041784573,0.04094835498590193,0.9995611670448988
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.2,0.00022270437683709045,0.012335388908131328,0.001974770240006123,0.40434891457200084,0.020482767306288095,0.9995611605988838
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.3,0.00014846958455806033,0.008223592605420887,0.0013165144440854095,0.31230153291237445,0.013656239307863766,0.9995155971737998
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.4,0.00011135218841854523,0.006167694454065664,0.0009873860826356735,0.24843525448184628,0.010242458055677783,0.9971071981713238
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.5,8.908175073483619e-05,0.004934155563252531,0.0007899089585214025,0.20447648776703653,0.00819406960172877,0.9871467216284696
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.6,7.423479227903016e-05,0.0041117963027104435,0.0006582575072675007,0.17307022018672258,0.006828438032531456,0.9764501719065819
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.7,6.362982195345442e-05,0.003524396830894666,0.000564220742135533,0.14973600989108143,0.005852971020151552,0.9459960325097055
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.8,5.567609420927261e-05,0.003083847227032832,0.0004936931616470679,0.13180347216217375,0.005121363349290568,0.8850077444811643
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.9,4.9489861519353436e-05,0.0027411975351402953,0.0004388383733912922,0.11763026135103072,0.00455233133029421,0.8536402825721615
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.01,0.00445408753674181,0.07887312213009938,0.03947493274323463,0.5,0.3882286672658292,0.9516041609074656
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.05,0.0008908175073483618,0.015774624426019873,0.007898926942586823,0.3740230685850405,0.08175961807882698,0.8571428571428572
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.1,0.0004454087536741809,0.007887312213009937,0.00394952507798021,0.2107368483903458,0.04094835498590193,0.8571428569636512
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.2,0.00022270437683709045,0.003943656106504968,0.001974770240006123,0.11829632903608528,0.020482767306288095,0.8571100674230001
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.3,0.00014846958455806033,0.0026291040710033128,0.0013165144440854095,0.08160018772041466,0.013656239307863766,0.8552847219046463
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.4,0.00011135218841854523,0.001971828053252484,0.0009873860826356735,0.062174727690601034,0.010242458055677783,0.8433103067103129
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.5,8.908175073483619e-05,0.0015774624426019878,0.0007899089585214025,0.05019036866962165,0.00819406960172877,0.812144600001596
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.6,7.423479227903016e-05,0.0013145520355016564,0.0006582575072675007,0.0420688276734201,0.006828438032531456,0.7615586212404803
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.7,6.362982195345442e-05,0.0011267588875728484,0.000564220742135533,0.03620500371099725,0.005852971020151552,0.6987553984252962
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.8,5.567609420927261e-05,0.000985914026626242,0.0004936931616470679,0.03177364250230921,0.005121363349290568,0.6322750844570886
Road_Traffic_Fine_Management_Process,AggregateType.SUM,0.9,4.9489861519353436e-05,0.0008763680236677709,0.0004388383733912922,0.028307559281829847,0.00455233133029421,0.5682843312714291
Sepsis Cases - Event Log,AggregateType.AVG,0.01,0.25900844690596686,0.026104633359102913,0.9764061253303925,0.8124439772693013,0.9999999983777382,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.AVG,0.05,0.05180168938119338,0.0052209266718205825,0.4159666569454266,0.38774841083395206,0.9700568870335003,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.AVG,0.1,0.02590084469059669,0.0026104633359102913,0.21785432244132,0.19162069301474138,0.7804925557983173,0.9988950276243095
Sepsis Cases - Event Log,AggregateType.AVG,0.2,0.012950422345298345,0.0013052316679551456,0.11025120665538204,0.09139663922661312,0.4802543249647553,0.9988950275546239
