dataset,aggregate_type,delta,epsilon_freq,epsilon_time,MAPE_freq,SMAPE_freq,MAPE_time,SMAPE_time
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.01,0.040001333413339134,0.00045640522797072466,0.02989242595610153,0.014041082583646015,26.6310235316037,0.7727563154476659
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.05,0.20016691711396528,0.0022826855647874356,0.007909082356385686,0.0038934572300106346,2.769145419869797,0.4326977589296566
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.1,0.4013413909243025,0.00458066627206799,0.00515571814854008,0.0025409300464578986,1.6810293851373672,0.34479082886332124
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.2,0.8109302162163288,0.009282598986164339,0.0015743826370426804,0.0007858879802590333,1.103227795039583,0.25716404989203356
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.3,1.2380784168124463,0.01413956639625116,0.001199957440582152,0.0005987503143255441,0.6716867650808462,0.213164736945457
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.4,1.6945957207744071,0.019322256613781855,0.001240065931979674,0.0006191392375458053,0.4932210052891799,0.17815278619926733
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.5,2.1972245773362196,0.025054380308949593,0.000458416544906004,0.0002289446443476819,0.26088500094080985,0.10038060606603447
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.6,2.772588722239781,0.031724117635438004,0.0003909808142415475,0.00019537093826865027,0.15174842983355083,0.06507525725068725
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.7,3.4692021107762123,0.03975363155412883,0.00031290359569622185,0.0001564027430837555,0.09684363589854732,0.04055205906834382
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.8,4.394449154672438,0.05013720020171038,0.00036304544025373407,0.00018136460066790224,0.04597715123080674,0.019714419346492255
Road_Traffic_Fine_Management_Process,AggregateType.MAX,0.9,5.888877958332882,0.06714555613931031,0.00021142644121953586,0.00010568352446460144,0.013796975434896133,0.00661198679192813
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.01,0.040001333413339134,1.0726721705229437e-12,0.03856293743547916,0.018228184766303616,947.7404714540734,0.4883228016452488
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.05,0.20016691711396528,5.363382662849773e-12,0.008851086273604482,0.004337001076841416,333.22888427812876,0.3913980363756951
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.1,0.4013413909243025,1.0792238129792729e-11,0.0032443646950079483,0.0016118376697040334,7819790.054584987,0.27253745227164605
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.2,0.8109302162163288,2.233974801581662e-11,0.0009460500157716895,0.00047217408683714545,845966.0484892043,0.2834165326097597
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.3,1.2380784168124463,3.463044205957958e-11,0.0009268310655769837,0.0004628691712061378,22656531.473366093,0.24511163124077545
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.4,1.6945957207744071,4.5891960377593225e-11,0.0004905978481981303,0.00024520580391777455,969890.0764831648,0.17366006854875907
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.5,2.1972245773362196,5.887864807034068e-11,0.0008011792544309816,0.00040015917512609443,12592776.837246278,0.09828008624535922
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.6,2.772588722239781,7.428353722590996e-11,0.0004444090331577543,0.00022207850228022326,20513307.908739395,0.4002309168929491
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.7,3.4692021107762123,9.349026275918237e-11,0.0004942262781039122,0.00024694566870553153,23045422.635292627,0.341489592616219
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.8,4.394449154672438,1.1996214907495196e-10,0.0003103519318511214,0.0001551171494182114,310405.14050883293,0.27553804461330733
Road_Traffic_Fine_Management_Process,AggregateType.MIN,0.9,5.888877958332882,1.8196571385336067e-10,0.00011485351142341235,5.741454238226528e-05,5275035.250399021,0.23531511072497865
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.01,0.040001333413339134,4.257774379901355e-05,0.02685669646535935,0.01289223088790591,4.753906696749843,0.4466285575839174
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.05,0.20016691711396528,0.00021151812044508053,0.004620740756139761,0.0022910363963268747,0.9743279901766788,0.25781386788363
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.1,0.4013413909243025,0.00042217715687272925,0.002395012961545775,0.0011891451900958988,0.6226885727150179,0.15757313936586356
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.2,0.8109302162163288,0.0008585295849062867,0.0012571992177448548,0.000627416919312962,0.16658334015017415,0.06762766104595017
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.3,1.2380784168124463,0.0013106717477451117,0.0015564793017724691,0.0007768451101740612,0.09911921384133218,0.0436867722711616
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.4,1.6945957207744071,0.0017832105648612562,0.001179025361728814,0.0005884378907489543,0.11144870946153682,0.050820797863249736
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.5,2.1972245773362196,0.0023104875673660213,0.0003332178742479431,0.0001665381974780447,0.17377855985669596,0.06572229861998789
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.6,2.772588722239781,0.002915549977443756,0.00028827616114621564,0.00014408185771857125,0.15492526669454626,0.053218544350274635
Road_Traffic_Fine_Management_Process,AggregateType.AVG,0.7,3.4692021107762123,0.003668659603728463,0.0005079121251234876,0.000253654224623706,0.10670324856134247,0.040682782113550746
